Universe,Period,Config,Gross Sharpe,Net Sharpe,Turnover,N Events
SP500,Full,Weekly+5d,0.754,0.678,100.0%,24041
SP500,Pre-2020,Weekly+5d,0.92,0.84,100.0%,12973
SP500,COVID era,Weekly+5d,0.47,0.398,100.0%,5024
SP500,Post-2022,Weekly+5d,0.704,0.603,100.0%,6044
SP1500,Full,Monthly+20d,0.556,0.51,99.8%,49809
SP1500,Pre-2020,Monthly+20d,0.691,0.639,99.8%,22950
SP1500,COVID era,Monthly+20d,0.434,0.396,99.9%,10955
SP1500,Post-2022,Monthly+20d,0.449,0.418,99.9%,15904
RU3K proxy,Full,Monthly+20d,0.891,0.829,99.9%,29538
RU3K proxy,Pre-2020,Monthly+20d,1.062,1.014,100.0%,15000
RU3K proxy,COVID era,Monthly+20d,0.207,0.173,100.0%,6516
RU3K proxy,Post-2022,Monthly+20d,1.159,1.128,99.9%,8022
